merchant_group,merchant_name,cc_type,cc_code
Professional Services,Doyle Ltd,Wire Transfer,63825
Office Supplies,"Wood, Tran and Cooper",ACH Debit,52848
Travel & T&E,"Branch, Torres and Oliver",Adjustment,61270
Marketing,Smith and Sons,Service Fee,68089
Utilities,"Evans, Hayden and Vaughn",Service Fee,53070
Software & SaaS,Jones and Sons,Online Payment,59012
Software & SaaS,"Schmidt, Hansen and Stewart",ACH Debit,61270
Travel & T&E,James Group,Adjustment,69349
Office Supplies,May-Ross,Wire Transfer,53358
Logistics,"Holmes, Williams and Wright",Service Fee,63746
Office Supplies,Lam LLC,Wire Transfer,63825
Travel & T&E,Hernandez Ltd,ACH Debit,65054
Utilities,Boone-Simmons,Wire Transfer,51423
Logistics,"Marks, Cook and Aguilar",Recurring Subscription,61029
Marketing,"Clark, Guerrero and Moore",Adjustment,61270
Software & SaaS,Smith-Bowen,Online Payment,59012
Marketing,Guerrero Inc,Refund,62449
Travel & T&E,"Rivera, Johnson and Wiley",Wire Transfer,53358
Utilities,Lowery-Kennedy,Service Fee,68089
Professional Services,"Lawson, Morris and Ramos",POS Purchase,57164
Office Supplies,Jones-Hensley,POS Purchase,57164
Utilities,Atkins PLC,Online Payment,59012
Logistics,Coffey-Phillips,POS Purchase,57164
Utilities,Estrada-Nolan,ACH Debit,65054
Professional Services,Crosby-Ramirez,Wire Transfer,67571
Utilities,Graham Group,Refund,57223
Travel & T&E,Young-Martinez,Wire Transfer,58667
Utilities,"Patterson, Smith and Jones",Wire Transfer,51423
Office Supplies,Erickson and Sons,Adjustment,61270
Professional Services,Lee-Davis,Recurring Subscription,61029
Travel & T&E,Pollard and Sons,Recurring Subscription,61029
Utilities,Walker Ltd,ACH Debit,52848
Marketing,"Turner, Ortiz and Taylor",Adjustment,64719
Logistics,"Woods, Calhoun and Schmidt",Refund,69726
Office Supplies,Cole-Palmer,Service Fee,53070
Software & SaaS,"Lewis, Kennedy and Santana",POS Purchase,57164
Software & SaaS,Hernandez-Jones,Wire Transfer,58667
Logistics,Henderson-Bernard,Wire Transfer,53358
Software & SaaS,Smith-Bowen,Online Payment,59012
Travel & T&E,Burton Ltd,Adjustment,69349
Utilities,"Evans, Stewart and Walton",Service Fee,53039
Utilities,Atkins PLC,Online Payment,59012
Office Supplies,"Miller, Hernandez and Reyes",Wire Transfer,58667
Utilities,"Evans, Hayden and Vaughn",Service Fee,53070
Logistics,"Gallegos, Adams and White",Adjustment,61270
Professional Services,"Downs, Morris and Maddox",ACH Debit,52848
Travel & T&E,Young Ltd,Refund,69726
Logistics,Combs Ltd,Service Fee,53070
Logistics,"Holmes, Williams and Wright",Service Fee,63746
Logistics,Jones-Soto,Wire Transfer,58667
Office Supplies,"West, Henderson and Ramirez",Service Fee,68089
Professional Services,"Walker, Hernandez and Baker",Adjustment,61270
Marketing,Smith and Sons,Service Fee,68089
Travel & T&E,Hill Inc,Refund,62449
Professional Services,"Turner, Schneider and Johnson",Adjustment,69309
Professional Services,"Alvarez, Joseph and West",Adjustment,69309
Software & SaaS,"Andrews, Higgins and Carter",Adjustment,69309
Professional Services,Chambers and Sons,Adjustment,64719
Software & SaaS,Cordova Group,Online Payment,53070
Marketing,Cook-Hines,Service Fee,68089
Utilities,Bailey-Cook,Adjustment,69309
Logistics,Jones-Soto,Wire Transfer,58667
Professional Services,George Group,Wire Transfer,67571
Marketing,Castaneda-Rodriguez,ACH Debit,62403
Logistics,Gray-Mayo,ACH Debit,61270
Travel & T&E,Diaz-Ball,ACH Debit,52848
Software & SaaS,Harrison-Alexander,ACH Debit,62403
Office Supplies,Schmitt PLC,ACH Debit,62403
Professional Services,Medina-Navarro,Service Fee,63825
Logistics,Smith-Grimes,Refund,69726
Professional Services,"Mccall, Hanson and Alvarado",Wire Transfer,67571
Utilities,"Mcclure, Ward and Lee",Adjustment,69309
Office Supplies,Anderson Group,Wire Transfer,68089
Utilities,Rasmussen LLC,Wire Transfer,63825
Travel & T&E,Li-Thompson,Online Payment,59012
Professional Services,Zhang PLC,Recurring Subscription,61029
Software & SaaS,Gilbert PLC,ACH Debit,62403
Logistics,"Marks, Cook and Aguilar",Recurring Subscription,61029
Software & SaaS,"Brennan, Wallace and Benson",Refund,69726
Office Supplies,"Thomas, Murray and King",Service Fee,53070
Utilities,"Hartman, Romero and Smith",ACH Debit,54572
Logistics,Blair PLC,Adjustment,64719
Software & SaaS,Ware and Sons,Adjustment,69349
Logistics,"Harper, Smith and Buchanan",Service Fee,63746
Professional Services,Marshall-Elliott,ACH Debit,52848
Software & SaaS,"Jackson, Miller and Robertson",Online Payment,53169
Logistics,Williams Inc,POS Purchase,57164
Logistics,Gray-Mayo,ACH Debit,61270
Office Supplies,Frank-Bradley,POS Purchase,56515
Logistics,Davis PLC,ACH Debit,61270
Marketing,Moore-Bass,ACH Debit,62403
Software & SaaS,Jones and Sons,Online Payment,59012
Travel & T&E,Gay Inc,Wire Transfer,51423
Office Supplies,Davis PLC,Adjustment,61270
Marketing,Miller-Wright,ACH Debit,62403
Software & SaaS,Hughes Inc,Wire Transfer,67571
Utilities,Gibson Ltd,Service Fee,53070
Professional Services,"Garcia, Humphrey and Baker",Recurring Subscription,61029
Utilities,Harvey-Allen,Service Fee,68089
Office Supplies,Wilson-Jones,Wire Transfer,62403
Office Supplies,"Martinez, Richardson and Curry",Adjustment,69309
Utilities,"Mullen, Brewer and Hernandez",Refund,69726
Marketing,"Graham, Olsen and Costa",Wire Transfer,51423
Travel & T&E,Blackwell LLC,ACH Debit,61270
Office Supplies,Anderson Group,Wire Transfer,68089
Software & SaaS,Jones and Sons,Online Payment,59012
Marketing,"Williams, Johnson and Wright",Service Fee,53039
Office Supplies,"Wood, Tran and Cooper",ACH Debit,52848
Professional Services,Meadows PLC,Wire Transfer,68089
Utilities,Castaneda-Ashley,Wire Transfer,62403
Software & SaaS,Davis-Lewis,Online Payment,53169
Utilities,"Robinson, Jones and Welch",Service Fee,53070
Professional Services,King-York,Adjustment,69349
Logistics,Donovan-Harris,Online Payment,53169
Software & SaaS,"Yates, Ramsey and Pittman",Refund,62449
Marketing,"Pierce, Bell and Chavez",ACH Debit,54572
Travel & T&E,Strickland-Palmer,Adjustment,69349
Utilities,"Garcia, Martin and Jenkins",Adjustment,69309
Logistics,"Holmes, Williams and Wright",Service Fee,63746
Office Supplies,"Wood, Ramos and Sampson",Wire Transfer,68089
Office Supplies,Mendez and Sons,Service Fee,63746
Marketing,Freeman-Chang,Online Payment,53169
Utilities,"Mullen, Brewer and Hernandez",Refund,69726
Software & SaaS,Moore-Collins,Wire Transfer,58667
Professional Services,Hughes-Alvarado,Wire Transfer,63825
Software & SaaS,"Adams, Zuniga and Wong",Service Fee,63825
Marketing,"Clark, Guerrero and Moore",Adjustment,61270
Professional Services,Spence PLC,Adjustment,69349
Travel & T&E,Stein-Silva,POS Purchase,57164
Marketing,Cortez LLC,ACH Debit,54572
Professional Services,Medina-Navarro,Service Fee,63825
Software & SaaS,Gomez-Jenkins,Refund,69726
Travel & T&E,Blackwell LLC,ACH Debit,61270
Marketing,Reed Inc,ACH Debit,61270
Professional Services,"Alvarez, Joseph and West",Adjustment,69309
Utilities,"Hale, Myers and Larson",Service Fee,68089
Logistics,"Lloyd, Mckinney and Collins",Service Fee,63746
Professional Services,"Downs, Morris and Maddox",ACH Debit,52848
Office Supplies,"Rodriguez, Figueroa and Sanchez",Wire Transfer,68089
Office Supplies,"Newton, Moore and Perry",Adjustment,61270
Marketing,"Osborn, Gaines and Davis",Refund,57223
Professional Services,Gibson-Morris,POS Purchase,56515
Professional Services,Warner-Gibson,Service Fee,63746
Logistics,King-Martinez,ACH Debit,61270
Marketing,"Hoffman, Baker and Richards",POS Purchase,56515
Marketing,Wagner-King,Refund,57223
Travel & T&E,Gay Inc,Wire Transfer,51423
Office Supplies,Johnston-Odonnell,Adjustment,69309
Professional Services,Buchanan LLC,POS Purchase,57164
Logistics,Davis PLC,ACH Debit,61270
Travel & T&E,"Johnson, Miller and King",Online Payment,53169
Logistics,Coffey-Phillips,POS Purchase,57164
Marketing,Miller-Wright,ACH Debit,62403
Software & SaaS,Moore-Collins,Wire Transfer,58667
Utilities,Baker and Sons,Service Fee,63825
Marketing,Nolan-Flynn,ACH Debit,62403
Software & SaaS,"Lewis, Kennedy and Santana",POS Purchase,57164
Professional Services,Hughes-Alvarado,Wire Transfer,63825
Office Supplies,Novak and Sons,Wire Transfer,67571
Travel & T&E,Blake Group,Wire Transfer,63825
Logistics,"Holmes, Williams and Wright",Service Fee,63746
Logistics,Jones-Soto,Wire Transfer,58667
Utilities,"Wise, Conley and Stephenson",ACH Debit,65054
Marketing,"Williams, Logan and Camacho",Online Payment,53169
Travel & T&E,Johnston-Hines,Service Fee,53039
Professional Services,Wright and Sons,Wire Transfer,51423
Software & SaaS,Williams and Sons,Online Payment,53070
Office Supplies,"Kennedy, Johnson and Lucas",Adjustment,61270
Professional Services,Taylor and Sons,Online Payment,53169
Utilities,Parsons-Hall,Adjustment,64719
Software & SaaS,Collier-Gillespie,Refund,57223
Software & SaaS,Chandler-Edwards,Adjustment,69309
Logistics,"Kelley, Nguyen and Vang",Wire Transfer,63825
Logistics,Sandoval-Cunningham,Wire Transfer,58667
Logistics,Russell-Daniels,Wire Transfer,62403
Marketing,"Pollard, Simpson and Johnson",Refund,62449
Logistics,"Henderson, Ramirez and Lewis",POS Purchase,57164
Marketing,"Pollard, Simpson and Johnson",Refund,62449
Office Supplies,Holt-Torres,ACH Debit,62403
Utilities,"Martin, Rose and Obrien",Wire Transfer,63825
Utilities,Walker Ltd,ACH Debit,52848
Logistics,"Huang, Cole and Pacheco",Online Payment,59012
Utilities,Wilkerson-Arias,Wire Transfer,63825
Professional Services,Lee-Davis,Recurring Subscription,61029
Professional Services,Warner-Gibson,Service Fee,63746
Software & SaaS,"Butler, Beck and Miller",Adjustment,69309
Office Supplies,"Brown, Valdez and Lucas",Wire Transfer,67571
Marketing,"Turner, Ortiz and Taylor",Adjustment,64719
Software & SaaS,Johnson-Wood,Adjustment,64719
Marketing,Jones Inc,Online Payment,53169
Travel & T&E,"Johnson, Miller and King",Online Payment,53169
Utilities,"Bentley, Lynch and Henderson",Wire Transfer,51423
Utilities,"Le, Lewis and Hayes",ACH Debit,52848
Software & SaaS,"Schmidt, Hansen and Stewart",ACH Debit,61270
Utilities,Wolf-Harris,Refund,62449
Office Supplies,Lam LLC,Wire Transfer,63825
Professional Services,Chambers and Sons,Adjustment,64719
Office Supplies,Stewart Ltd,Adjustment,69309
Utilities,Jones-Lin,Service Fee,63746
Professional Services,"Matthews, Smith and Hubbard",Wire Transfer,53358
Professional Services,Larson-Holloway,Online Payment,53169
Software & SaaS,Scott Ltd,Service Fee,68089
Travel & T&E,Arnold and Sons,POS Purchase,56515
Marketing,"Pollard, Simpson and Johnson",Refund,62449
Utilities,Novak PLC,Refund,57223
Software & SaaS,Marshall-Petersen,Service Fee,63825
Software & SaaS,Davis Group,Recurring Subscription,61029
Logistics,Combs Ltd,Service Fee,53070
Marketing,Castaneda-Rodriguez,ACH Debit,62403
Utilities,Wolf-Harris,Refund,62449
Marketing,"Austin, Day and Johnson",Refund,62449
Utilities,"Wise, Conley and Stephenson",ACH Debit,65054
Travel & T&E,Hancock Inc,Wire Transfer,67571
Utilities,"Hale, Myers and Larson",Service Fee,68089
Travel & T&E,Rodriguez-Graham,Wire Transfer,63825
Travel & T&E,Riggs PLC,Wire Transfer,53358
Marketing,Reed Inc,ACH Debit,61270
Professional Services,Graham Group,Adjustment,69309
Utilities,"Williams, Mccoy and Cook",Adjustment,61270
Office Supplies,Stewart Ltd,Adjustment,69309
Office Supplies,Ramirez-Bean,Online Payment,53070
Travel & T&E,Young-Martinez,Wire Transfer,58667
Office Supplies,Jones-Hensley,POS Purchase,57164
Marketing,Dean-Jimenez,Online Payment,59012
Software & SaaS,"Lewis, Kennedy and Santana",POS Purchase,57164
Professional Services,Marshall-Elliott,ACH Debit,52848
Professional Services,Doyle Ltd,Wire Transfer,63825
Travel & T&E,Hernandez Ltd,ACH Debit,65054
Professional Services,Davis Inc,ACH Debit,61270
Software & SaaS,Manning Group,Wire Transfer,51423
Software & SaaS,Gilbert PLC,ACH Debit,62403
Office Supplies,"Thomas, Murray and King",Service Fee,53070
Marketing,Howard-Jordan,Adjustment,69349
Travel & T&E,Bass PLC,Service Fee,63746
Software & SaaS,Moon-White,Adjustment,64719
Travel & T&E,Collins Group,Service Fee,63746
Logistics,"Woods, Calhoun and Schmidt",Refund,69726
Software & SaaS,Rowe Group,Online Payment,53070
Office Supplies,"Burns, Hernandez and Ryan",Online Payment,53169
Professional Services,"Matthews, Smith and Hubbard",Wire Transfer,53358
Travel & T&E,Curry Inc,Adjustment,64719
Professional Services,Meadows PLC,Wire Transfer,68089
Marketing,"Pollard, Simpson and Johnson",Refund,62449
Office Supplies,Frank-Bradley,POS Purchase,56515
Travel & T&E,Pollard and Sons,Recurring Subscription,61029
Travel & T&E,Reid-Poole,Service Fee,68089
Travel & T&E,Arnold and Sons,POS Purchase,56515
Utilities,"Bentley, Lynch and Henderson",Wire Transfer,51423
Utilities,Castaneda-Ashley,Wire Transfer,62403
Marketing,"Osborn, Gaines and Davis",Refund,57223
Marketing,Wagner-King,Refund,57223
Marketing,"Williams, Logan and Camacho",Online Payment,53169
Software & SaaS,Chandler-Edwards,Adjustment,69309
Marketing,Bright-Francis,Wire Transfer,53358
Software & SaaS,Marshall-Petersen,Service Fee,63825
Travel & T&E,"Rivera, Johnson and Wiley",Wire Transfer,53358
Professional Services,Davis-Gregory,ACH Debit,52848
Office Supplies,"Estrada, Williams and Foster",Wire Transfer,68089
Marketing,"Pierce, Bell and Chavez",ACH Debit,54572
Utilities,Perez Inc,Adjustment,61270
Marketing,"Smith, Gilmore and Johnston",POS Purchase,56515
Travel & T&E,Bruce-Villegas,Service Fee,63746
Travel & T&E,Gonzales-Harrison,Adjustment,69309
Office Supplies,Lam LLC,Wire Transfer,63825
Utilities,Wilkerson-Arias,Wire Transfer,63825
Utilities,"Hicks, Bullock and Bailey",Wire Transfer,62403
Logistics,"Nelson, Morton and Medina",Wire Transfer,68089
Travel & T&E,"Adams, Christian and Rivas",Refund,62449
Office Supplies,"Wood, Ramos and Sampson",Wire Transfer,68089
Utilities,Atkins PLC,Online Payment,59012
Professional Services,Marshall-Elliott,ACH Debit,52848
Office Supplies,Davis PLC,Adjustment,61270
Marketing,Yu Inc,Wire Transfer,63825
Utilities,"Garcia, Martin and Jenkins",Adjustment,69309
Marketing,"Marshall, Dominguez and Welch",Wire Transfer,53358
Software & SaaS,"Adams, Zuniga and Wong",Service Fee,63825
Office Supplies,Baxter Inc,ACH Debit,61270
Travel & T&E,"Bryan, Smith and Booth",POS Purchase,57164
Travel & T&E,Brown Group,Refund,69726
Logistics,Santana-Byrd,ACH Debit,65054
Software & SaaS,Hooper PLC,Adjustment,69309
Marketing,"Osborn, Gaines and Davis",Refund,57223
Logistics,Walker LLC,Wire Transfer,53358
Logistics,Bean LLC,Refund,69726
Utilities,Hayes LLC,Refund,62449
Travel & T&E,Hernandez PLC,Wire Transfer,62403
Logistics,Walker LLC,Wire Transfer,53358
Utilities,Baird-Sanchez,Refund,62449
Logistics,Davis-Lozano,POS Purchase,56515
Travel & T&E,Arnold and Sons,POS Purchase,56515
Logistics,"Henderson, Ramirez and Lewis",POS Purchase,57164
Logistics,Edwards-Scott,Refund,57223
Professional Services,"Stanley, Tucker and Lee",Wire Transfer,68089
Office Supplies,"Wood, Tran and Cooper",ACH Debit,52848
Marketing,"Osborn, Gaines and Davis",Refund,57223
Utilities,"Avery, Horton and Fernandez",Service Fee,63825
Travel & T&E,Blackwell LLC,ACH Debit,61270
Office Supplies,"Hensley, Powell and David",Online Payment,59012
Marketing,Harrell LLC,ACH Debit,52848
Software & SaaS,Jones and Sons,Online Payment,59012
Office Supplies,Wilson-Jimenez,Recurring Subscription,61029
Travel & T&E,Blackwell LLC,ACH Debit,61270
Professional Services,"Lawson, Morris and Ramos",POS Purchase,57164
Utilities,Lewis-Murphy,Service Fee,63746
Travel & T&E,"Shaw, Nelson and Martin",Adjustment,69349
Software & SaaS,"Fisher, Wilson and Brown",Wire Transfer,58667
Travel & T&E,"Beard, Peters and Black",Adjustment,69349
Logistics,Torres Group,POS Purchase,56515
Professional Services,George Group,Wire Transfer,67571
Utilities,Ortiz-Morgan,Adjustment,64719
Software & SaaS,"Yates, Ramsey and Pittman",Refund,62449
Utilities,Ortiz-Morgan,Adjustment,64719
Professional Services,Zhang PLC,Recurring Subscription,61029
Professional Services,King-York,Adjustment,69349
Marketing,Hoover-Campbell,ACH Debit,61270
Professional Services,"Hernandez, Thompson and Boyd",Wire Transfer,68089
Utilities,King-Smith,Wire Transfer,63825
Marketing,"Smith, Gilmore and Johnston",POS Purchase,56515
Logistics,Coffey-Phillips,POS Purchase,57164
Logistics,Gutierrez Group,Adjustment,69309
Logistics,"Lamb, Martin and Kim",Wire Transfer,53358
Utilities,Bennett Group,Wire Transfer,51423
Utilities,Ruiz Ltd,Online Payment,53169
Software & SaaS,"Henderson, Cox and Cox",Adjustment,61270
Professional Services,Gibson-Morris,POS Purchase,56515
Software & SaaS,"Adams, Zuniga and Wong",Service Fee,63825
Marketing,"Diaz, Anderson and Browning",Recurring Subscription,61029
Travel & T&E,Rodriguez-Graham,Wire Transfer,63825
Software & SaaS,White-Estes,Service Fee,68089
Marketing,"Ramsey, Whitney and Coffey",Refund,57223
Utilities,Fernandez and Sons,ACH Debit,61270
Logistics,Combs Ltd,Service Fee,53070
Logistics,"Holmes, Williams and Wright",Service Fee,63746
Professional Services,Ross LLC,Online Payment,53070
Marketing,"Austin, Day and Johnson",Refund,62449
Office Supplies,Anderson Group,Wire Transfer,68089
Logistics,Sheppard LLC,Refund,69726
Marketing,"Brooks, Lam and Hayes",POS Purchase,57164
Software & SaaS,Moore-Collins,Wire Transfer,58667
Professional Services,"Diaz, Gibbs and Smith",Recurring Subscription,61029
Marketing,Henry Group,POS Purchase,57164
Software & SaaS,"Henderson, Cox and Cox",Adjustment,61270
Logistics,Walker LLC,Wire Transfer,53358
Office Supplies,"Duran, Obrien and Gibbs",Refund,69726
Utilities,Smith PLC,POS Purchase,56515
Travel & T&E,Strickland-Palmer,Adjustment,69349
Office Supplies,Green-Wright,Adjustment,64719
Office Supplies,"Taylor, Wright and Davidson",Adjustment,69309
Software & SaaS,Williams and Sons,Online Payment,53070
Professional Services,Morales-Jones,Adjustment,69349
Utilities,"Hurst, Freeman and Nelson",Online Payment,59012
Office Supplies,Roberts-Sullivan,Service Fee,63825
Professional Services,"Ross, Robinson and Bright",POS Purchase,57164
Logistics,Salazar-Ball,POS Purchase,57164
Marketing,"Higgins, Strickland and Martin",Wire Transfer,68089
Office Supplies,"Wood, Hunter and Peterson",Wire Transfer,51423
Logistics,Garcia-Smith,ACH Debit,62403
Utilities,Novak PLC,Refund,57223
Logistics,Smith-Frost,Adjustment,64719
Professional Services,"Suarez, Shields and Hill",Service Fee,63825
Marketing,"Pierce, Bell and Chavez",ACH Debit,54572
Marketing,"James, Stewart and Higgins",Adjustment,69349
Marketing,"Smith, Garrison and Thomas",Service Fee,68089
Utilities,Atkins PLC,Online Payment,59012
Professional Services,"Garcia, Humphrey and Baker",Recurring Subscription,61029
Software & SaaS,Anderson-Bailey,ACH Debit,65054
Marketing,Moore-Bass,ACH Debit,62403
Software & SaaS,Ryan PLC,Refund,69726
Logistics,Robinson-Lee,Service Fee,53039
Marketing,"Osborn, Gaines and Davis",Refund,57223
Logistics,"Nelson, Morton and Medina",Wire Transfer,68089
Utilities,Burgess-Thompson,Adjustment,64719
Marketing,"Smith, Garrison and Thomas",Service Fee,68089
Travel & T&E,"Joyce, Wilson and Lam",Service Fee,53039
Utilities,Roberts-Landry,Wire Transfer,53358
Utilities,Wilkerson-Arias,Wire Transfer,63825
Logistics,"Sparks, Jackson and Miller",Refund,62449
Professional Services,"Stanley, Tucker and Lee",Wire Transfer,68089
Office Supplies,May-Ross,Wire Transfer,53358
Professional Services,Warner-Gibson,Service Fee,63746
Marketing,Richards-Carson,Wire Transfer,63825
Software & SaaS,"Parker, Ortiz and Powell",POS Purchase,57164
Utilities,"Harrison, Johnson and Roberts",Wire Transfer,62403
Software & SaaS,"Parker, Ortiz and Powell",POS Purchase,57164
Utilities,"Winters, Newman and Brown",Wire Transfer,68089
Software & SaaS,"Guzman, Hoffman and Baldwin",Wire Transfer,68089
Software & SaaS,Strickland-Shaw,Adjustment,64719
Utilities,Graham Group,Refund,57223
Travel & T&E,"Guerrero, Peck and Coleman",ACH Debit,54572
Office Supplies,Burch-Montoya,Wire Transfer,67571
Logistics,"Holmes, Williams and Wright",Service Fee,63746
Logistics,Jones PLC,Service Fee,53039
Logistics,"Reyes, Chase and Jenkins",Recurring Subscription,61029
Software & SaaS,"Sanchez, Wheeler and Harvey",Online Payment,53070
Travel & T&E,"Baker, Mason and White",Refund,62449
Marketing,Miller-Wright,ACH Debit,62403
Office Supplies,Mendez and Sons,Service Fee,63746
Travel & T&E,Curry Inc,Adjustment,64719
Office Supplies,"Thomas, Murray and King",Service Fee,53070
Office Supplies,Green-Wright,Adjustment,64719
Logistics,Rodriguez-Hall,Adjustment,61270
Travel & T&E,Li-Thompson,Online Payment,59012
Office Supplies,Erickson and Sons,Adjustment,61270
Logistics,"Morris, Thompson and Williams",Wire Transfer,63825
Professional Services,"Mccall, Hanson and Alvarado",Wire Transfer,67571
Travel & T&E,Arnold and Sons,POS Purchase,56515
Utilities,Hayes LLC,Refund,62449
Travel & T&E,"Ramirez, Strickland and Washington",Wire Transfer,68089
Utilities,"Patterson, Smith and Jones",Wire Transfer,51423
Software & SaaS,Marshall-Petersen,Service Fee,63825
Utilities,Ortiz-Morgan,Adjustment,64719
Professional Services,"Matthews, Smith and Hubbard",Wire Transfer,53358
Office Supplies,Jones Inc,Service Fee,53070
Utilities,Johnson-Carlson,Wire Transfer,51423
Logistics,"Nelson, Morton and Medina",Wire Transfer,68089
Marketing,Bright-Francis,Wire Transfer,53358
Marketing,"Higgins, Strickland and Martin",Wire Transfer,68089
Software & SaaS,"Brennan, Wallace and Benson",Refund,69726
Professional Services,"Simmons, Meadows and Griffin",Online Payment,59012
Professional Services,"Turner, Schneider and Johnson",Adjustment,69309
Professional Services,"Simmons, Meadows and Griffin",Online Payment,59012
Travel & T&E,Dudley Group,Wire Transfer,51423
Professional Services,Welch-Hogan,Online Payment,53169
Travel & T&E,Bass PLC,Service Fee,63746
Utilities,Peterson-Beard,Online Payment,59012
Travel & T&E,Hernandez Inc,Refund,57223
Software & SaaS,"Guzman, Hoffman and Baldwin",Wire Transfer,68089
Marketing,"James, Stewart and Higgins",Adjustment,69349
Utilities,"Hale, Myers and Larson",Service Fee,68089
Marketing,Guerrero Inc,Refund,62449
Logistics,"Brown, Harris and Dougherty",Online Payment,53070
Travel & T&E,Bruce-Villegas,Service Fee,63746
Office Supplies,"Kennedy, Johnson and Lucas",Adjustment,61270
Software & SaaS,Wilkerson-Day,ACH Debit,62403
Logistics,Davis-Lozano,POS Purchase,56515
Office Supplies,"Beltran, Lozano and Mcgee",ACH Debit,52848
Travel & T&E,Bruce-Villegas,Service Fee,63746
Utilities,Roberts-Landry,Wire Transfer,53358
